messages.menu_quotes.l001,Happy is the tomb where no wizard hath lain and happy the town at night whose wizards are all ashes.,没有巫师长眠的墓穴是幸福的，夜里所有巫师都已化为灰烬的城镇也是幸福的。
messages.menu_quotes.l002,"Our means of receiving impressions are absurdly few, and our notions of surrounding objects infinitely narrow. We see things only as we are constructed to see them, and can gain no idea of their absolute nature.",我们接收印象的手段荒谬地稀少，对周遭事物的观念也无限狭窄。我们只能按自身构造去看事物，却无法认识它们的绝对本质。
messages.menu_quotes.l003,"Sometimes I believe that this less material life is our truer life, and that our vain presence on the terraqueous globe is itself the secondary or merely virtual phenomenon.",有时我相信，这种较少物质性的生命才是我们更真实的生命，而我们在水陆相间的地球上的虚妄存在，本身不过是次要的，或仅仅是虚拟的现象。
messages.menu_quotes.l004,"Science, already oppressive with its shocking revelations, will perhaps be the ultimate exterminator of our human species, if separate species we be, for its reserve of unguessed horrors could never be borne by mortal brains if loosed upon the world...",科学已经以其骇人的揭示令人不堪重负；倘若我们真是一个独立的物种，它或许终将成为人类的灭绝者，因为它所保留的那些未曾猜想的恐怖，一旦释放到世上，凡人的头脑绝无可能承受。
messages.menu_quotes.l005,Madness rides the star-wind... claws and teeth sharpened on centuries of corpses... dripping death astride a bacchanale of bats from nigh-black ruins of buried temples of Belial...,疯狂乘着星风而来……利爪与牙齿在数世纪的尸骸上磨利……滴着死亡，从近乎漆黑的彼列埋葬神庙废墟中，骑着群蝠的狂欢而至……
messages.menu_quotes.l006,Memories and possibilities are ever more hideous than realities.,记忆与可能性永远比现实更可憎。
messages.menu_quotes.l007,"Yog-Sothoth knows the gate. Yog-Sothoth is the gate. Yog-Sothoth is the key and guardian of the gate. Past, present, future, all are one in Yog-Sothoth. He knows where the Old Ones broke through of old, and where They shall break through again.",犹格-索托斯知晓门。犹格-索托斯即是门。犹格-索托斯是门的钥匙与守护者。过去、现在、未来，在犹格-索托斯中合而为一。祂知道旧日支配者昔日从何处闯入，也知道祂们还会在何处再度闯入。
messages.menu_quotes.l008,"Slowly but inexorably crawling upon my consciousness and rising above every other impression, came a dizzying fear of the unknown; not death, but some nameless, unheard-of thing inexpressibly more ghastly and abhorrent.",一种对未知的眩晕恐惧缓慢却不可阻挡地爬上我的意识，压过了一切其他印象；那不是死亡，而是某种无名、闻所未闻、比死亡更难以言表地可怖而可憎的东西。
messages.menu_quotes.l009,"The moon is dark, and the gods dance in the night; there is terror in the sky, for upon the moon hath sunk an eclipse foretold in no books of men or of earth's gods...",月色昏暗，诸神在夜中起舞；天空中有恐怖，因为一场不见于人类或尘世诸神典籍的预言之蚀已经沉入月面……
messages.menu_quotes.l010,"May the merciful gods, if indeed there be such, guard those hours when no power of the will can keep me from the chasm of sleep. With him who has come back out of the nethermost chambers of night, haggard and knowing, peace rests nevermore.",愿仁慈的诸神，倘若真有这样的神，守护那些时刻，那时没有任何意志之力能阻止我坠入睡眠的深渊。对于从黑夜最底层密室中归来、憔悴而知晓的人，安宁再也不会停留。
messages.menu_quotes.l011,"What I learned and saw in those hours of impious exploration can never be told, for want of symbols or suggestions in any language.",我在那些亵渎探索的时辰里所学到、所见到的一切，都永远无法述说，因为任何语言都缺少相应的符号与暗示。
messages.menu_quotes.l012,"The most merciful thing in the world, I think, is the inability of the human mind to correlate all its contents.",我认为，世上最仁慈的事，便是人类心智无法将其全部内容串联起来。
messages.menu_quotes.l013,In his house at R'lyeh dead Cthulhu waits dreaming.,在拉莱耶的宅邸中，死去的克苏鲁候梦而眠。
messages.menu_quotes.l014,Ph'nglui mglw'nafh Cthulhu R'lyeh wgah'nagl fhtagn,Ph'nglui mglw'nafh Cthulhu R'lyeh wgah'nagl fhtagn
messages.menu_quotes.l015,"They worshipped, so they said, the Great Old Ones who lived ages before there were any men, and who came to the young world out of the sky...",据他们说，他们崇拜的是伟大的旧日支配者，祂们在任何人类出现以前的久远年代便已存在，并从天空来到这个年轻的世界……
messages.menu_quotes.l016,"That is not dead which can eternal lie, and with strange aeons even death may die.",死者并非永远安眠，在奇异的万古之中，死亡亦会消亡。
messages.menu_quotes.l017,"I have looked upon all that the universe has to hold of horror, and even the skies of spring and the flowers of summer must ever afterward be poison to me. But I do not think my life will be long. I know too much, and the cult still lives.",我已窥见宇宙所能容纳的一切恐怖，从此以后，即便春日的天空与夏日的花朵，对我也必将成为毒物。但我想我的生命不会长久。我知道得太多，而那教团仍然存在。
messages.menu_quotes.l018,"The oldest and strongest emotion of mankind is fear, and the oldest and strongest kind of fear is fear of the unknown.",人类最古老也最强烈的情感是恐惧，而最古老也最强烈的恐惧，是对未知的恐惧。
messages.menu_quotes.l019,"I have seen the dark universe yawning, where the black planets roll without aim, where they roll in their horror unheeded, without knowledge, or lustre, or name.",我曾看见黑暗宇宙张开深渊，黑色行星毫无目的地滚动；它们在无人理会的恐怖中滚动，没有知识，没有光泽，也没有名字。
messages.menu_quotes.l020,"Searchers after horror haunt strange, far places.",追寻恐怖的人总徘徊于奇异而遥远的地方。
messages.menu_quotes.l021,"The sciences have hitherto harmed us little; but some day the piecing together of dissociated knowledge will open up such terrifying vistas of reality, that we shall either go mad from the revelation or flee from the deadly light into the peace and safety of a new dark age.",迄今为止，科学对我们的伤害还不大；但终有一日，支离破碎的知识被拼合起来时，将揭开现实中如此骇人的远景，使我们不是因启示而疯狂，便是逃离那致命的光，躲进新黑暗时代的宁静与安全。
messages.menu_quotes.l022,"There are horrors beyond life's edge that we do not suspect, and once in a while man's evil prying calls them just within our range.",生命边缘之外存在着我们不曾猜疑的恐怖；偶尔，人类邪恶的窥探会把它们召入我们触手可及的范围。
messages.menu_quotes.l023,"We live on a placid island of ignorance in the midst of black seas of infinity, and it was not meant that we should voyage far.",我们生活在无垠黑海中央一座宁静的无知孤岛上，而命运并不打算让我们远航。
messages.menu_quotes.l024,"There are black zones of shadow close to our daily paths, and now and then some evil soul breaks a passage through. When that happens, the man who knows must strike before reckoning the consequences.",在我们日常道路旁就有黑色的阴影地带，偶尔会有某个邪恶灵魂打通通道。那种时候，知情者必须在权衡后果之前先下手。
messages.menu_quotes.l025,"Non-Euclidean calculus and quantum physics are enough to stretch any brain; and when one mixes them with folklore, and tries to trace a strange background of multi-dimensional reality behind the ghoulish hints of Gothic tales and the wild whispers of the chimney-corner, one can hardly expect to be wholly free from mental tension.",非欧几里得微积分和量子物理已足以拉伸任何头脑；若再把它们与民俗混合，试图在哥特故事的恐怖暗示和炉边狂野低语背后追踪多维现实的奇异背景，便很难指望完全摆脱精神上的紧张。
messages.menu_quotes.l026,"With five feeble senses we pretend to comprehend the boundlessly complex cosmos, yet other beings might not only see very differently, but might see and study whole worlds of matter, energy, and life which lie close at hand yet can never be detected with the senses we have.",凭着五种孱弱的感官，我们假装能够理解无比复杂的宇宙；然而其他存在不仅可能以截然不同的方式观看，还可能看见并研究物质、能量与生命的整个世界，而这些世界近在咫尺，却永远无法被我们拥有的感官察觉。
