actor_common.dies,dies.,死了。
actor_common.feel_frailer,I feel frailer!,我感觉更虚弱了！
actor_common.feel_healthier,I feel healthier!,我感觉更健康了！
actor_common.feel_more_spirited,I feel more spirited!,我感觉精神更振奋了！
actor_common.feel_more_vigorous,I feel more vigorous!,我感觉更有活力了！
actor_common.grow_in_spirit, appears to grow in spirit.,精神似乎变强了。
actor_common.looks_frailer, looks frailer.,看起来更虚弱了。
actor_common.looks_healthier, looks healthier.,看起来更健康了。
actor_common.looks_more_spirited, looks more spirited.,看起来精神更振奋了。
actor_common.looks_more_vigorous, looks more vigorous.,看起来更有活力了。
actor_common.shrink_in_spirit, appears to shrink in spirit.,精神似乎变弱了。
actor_common.spirit_stronger,My spirit is stronger!,我的精神更强大了！
actor_common.spirit_weaker,My spirit is weaker!,我的精神更虚弱了！
actor_data.aware_hidden.abaxu,I hear the flapping of great wings.,我听见巨大翅膀拍动的声音。
actor_data.aware_hidden.abyssal_troglodyte,I hear shrieking.,我听见尖叫声。
actor_data.aware_hidden.air_beast,I hear a snarl.,我听见一声咆哮。
actor_data.aware_hidden.air_hound,I hear a snarl.,我听见一声咆哮。
actor_data.aware_hidden.ape,I hear a beast howling.,我听见野兽嚎叫。
actor_data.aware_hidden.black_mamba,I hear hissing.,我听见嘶嘶声。
actor_data.aware_hidden.brown_jenkin,I hear a loathsome titter.,我听见令人厌恶的窃笑。
actor_data.aware_hidden.byakhee,I hear the flapping of great wings.,我听见巨大翅膀拍动的声音。
actor_data.aware_hidden.croc_head_mummy,I hear a hollow voice.,我听见空洞的声音。
actor_data.aware_hidden.dust_vortex,I hear a howling wind.,我听见呼啸的风声。
actor_data.aware_hidden.earth_beast,I hear a snarl.,我听见一声咆哮。
actor_data.aware_hidden.earth_hound,I hear a snarl.,我听见一声咆哮。
actor_data.aware_hidden.energy_vortex,I hear a howling wind.,我听见呼啸的风声。
actor_data.aware_hidden.failed_reanimation,I hear a growling voice.,我听见低吼的声音。
actor_data.aware_hidden.fire_beast,I hear a snarl.,我听见一声咆哮。
actor_data.aware_hidden.fire_hound,I hear a snarl.,我听见一声咆哮。
actor_data.aware_hidden.fire_vortex,I hear a howling wind.,我听见呼啸的风声。
actor_data.aware_hidden.flying_polyp,I hear a shrill whistling.,我听见尖厉的哨声。
actor_data.aware_hidden.ghoul,I hear a chilling growl.,我听见令人胆寒的低吼。
actor_data.aware_hidden.giant_bat,I hear the flapping of great wings.,我听见巨大翅膀拍动的声音。
actor_data.aware_hidden.greater_polyp,I hear a shrill whistling.,我听见尖厉的哨声。
actor_data.aware_hidden.hunting_horror,I hear the flapping of great wings.,我听见巨大翅膀拍动的声音。
actor_data.aware_hidden.keziah_mason,I hear a repulsive croaking voice.,我听见令人作呕的嘎嘎嗓音。
actor_data.aware_hidden.khephren,I hear a hollow voice.,我听见空洞的声音。
actor_data.aware_hidden.mi_go,I hear a droning voice.,我听见嗡嗡的声音。
actor_data.aware_hidden.mi_go_commander,I hear a droning voice.,我听见嗡嗡的声音。
actor_data.aware_hidden.mi_go_omega_sentinel,I hear a droning voice.,我听见嗡嗡的声音。
actor_data.aware_hidden.mummy,I hear a hollow voice.,我听见空洞的声音。
actor_data.aware_hidden.nitokris,I hear a hollow voice.,我听见空洞的声音。
actor_data.aware_hidden.ooze_lurking,I hear a gurgling noise.,我听见汩汩声。
actor_data.aware_hidden.ooze_poison,I hear a gurgling noise.,我听见汩汩声。
actor_data.aware_hidden.ooze_putrid,I hear a gurgling noise.,我听见汩汩声。
actor_data.aware_hidden.pickman,I hear a chilling growl.,我听见令人胆寒的低吼。
actor_data.aware_hidden.pit_viper,I hear hissing.,我听见嘶嘶声。
actor_data.aware_hidden.raven,I hear the flapping of wings.,我听见翅膀拍动的声音。
actor_data.aware_hidden.sentry_drone,I hear a deep buzzing sound.,我听见低沉的嗡鸣声。
actor_data.aware_hidden.spitting_cobra,I hear hissing.,我听见嘶嘶声。
actor_data.aware_hidden.troglodyte,I hear shrieking.,我听见尖叫声。
actor_data.aware_hidden.vampire_bat,I hear the flapping of great wings.,我听见巨大翅膀拍动的声音。
actor_data.aware_hidden.water_beast,I hear a snarl.,我听见一声咆哮。
actor_data.aware_hidden.water_hound,I hear a snarl.,我听见一声咆哮。
actor_data.aware_hidden.winged_zombie,I hear the flapping of great wings.,我听见巨大翅膀拍动的声音。
actor_data.aware_hidden.wolf,I hear snarling.,我听见咆哮声。
actor_data.aware_hidden.zealot,I hear a harrowing scream.,我听见凄厉的惨叫。
actor_data.aware_hidden.zombie,I hear a growling voice.,我听见低吼的声音。
actor_data.aware_hidden.zuul,I hear a snarl.,我听见一声咆哮。
actor_data.aware_seen.abyssal_troglodyte,shrieks.,发出尖叫。
actor_data.aware_seen.air_beast,snarls.,咆哮。
actor_data.aware_seen.air_hound,snarls.,咆哮。
actor_data.aware_seen.ape,howls.,嚎叫。
actor_data.aware_seen.black_mamba,hisses.,发出嘶嘶声。
actor_data.aware_seen.brown_jenkin,titters in a loathsome voice.,用令人厌恶的声音窃笑。
actor_data.aware_seen.croc_head_mummy,speaks in a hollow voice.,用空洞的声音说话。
actor_data.aware_seen.earth_beast,snarls.,咆哮。
actor_data.aware_seen.earth_hound,snarls.,咆哮。
actor_data.aware_seen.failed_reanimation,growls.,低吼。
actor_data.aware_seen.fire_beast,snarls.,咆哮。
actor_data.aware_seen.fire_hound,snarls.,咆哮。
actor_data.aware_seen.flying_polyp,makes shrill whistling sounds.,发出尖厉的哨声。
actor_data.aware_seen.ghoul,growls.,低吼。
actor_data.aware_seen.greater_polyp,makes shrill whistling sounds.,发出尖厉的哨声。
