manual.gameplay_commands.title,Gameplay commands,游戏命令
manual.gameplay_commands.p001,"Gameplay commands:
   a         INVENTORY, only showing items that can be CONSUMED or ACTIVATED
   c         CLOSE DOOR, or jam closed door with an iron spike
   C (@)     CHARACTER information
   d         DROP item
   f         AIM/FIRE weapon
             (To fire a ranged weapon or to aim a melee weapon at a specific
             position, e.g. to aim a melee weapon with long reach)
   g (,)     PICK UP item
   h (M)     MESSAGE history
   i         INVENTORY (wield, equip, remove, consume, or activate items)
   k (w)     KICK or strike objects, or DESTROY CORPSES
   m         Show MAP (or close map)
   n (o)     Make NOISE
   p         DISARM trap
   r         RELOAD
   5 (.)     WAIT one turn (numpad '5' or the period key)
             (This also rearranges pistol magazines if possible, or feeds on a
             corpse if playing as the Ghoul character)
   t         THROW item, throw lit EXPLOSIVE
   u (G)     UNLOAD firearm on the ground, or pick up item
   v         LOOK, VIEW descriptions of things on the map
   x         CAST spell
   z         SWAP to readied weapon
   Q         QUIT","游戏命令：
   a         物品栏，只显示可以消耗或激活的物品
   c         关门，或用铁刺把门卡死
   C (@)     角色信息
   d         丢下物品
   f         瞄准/发射武器
             （用于发射远程武器，或把近战武器瞄准到指定位置，
             例如用长柄近战武器攻击远处）
   g (,)     捡起物品
   h (M)     消息历史
   i         物品栏（持用、装备、移除、消耗或激活物品）
   k (w)     踢击或打击物体，或摧毁尸体
   m         显示地图（或关闭地图）
   n (o)     制造噪音
   p         解除陷阱
   r         装填
   5 (.)     等待一回合（数字小键盘“5”或句点键）
             （如果可以，这也会重新整理手枪弹匣；如果扮演食尸鬼，
             则会进食脚下的尸体）
   t         投掷物品，投掷已点燃的爆炸物
   u (G)     卸下地上火器中的弹药，或捡起物品
   v         查看，查看地图上事物的描述
   x         施放法术
   z         切换到预备武器
   Q         退出"
manual.gameplay_commands.p002,"Optional convenience commands and shortcuts:
   b         Use MEDICAL BAG
   l (e)     Toggle LANTERN
   s         WAIT five turns, or until something happens
   Shift     Hold while pressing a move key to move until interrupted
   Tab       MELEE ATTACK adjacent monster (or further away if wielding a
             melee weapon with long reach), or DISARM adjacent trap
   Numpad 0 Open/close MAP","可选的便利命令和快捷键：
   b         使用医疗包
   l (e)     开关提灯
   s         等待五回合，或等待直到有事情发生
   Shift     按住并同时按移动键，可一直移动直到被打断
   Tab       近战攻击相邻怪物（如果持用长柄近战武器，也可攻击更远的怪物），
             或解除相邻陷阱
   Numpad 0  打开/关闭地图"
manual.gameplay_commands.p003,"General menu and window commands:
   Esc       In-game menu, or cancel/proceed
   ?, F1     This manual
   =         Options
   +/-       Change window width
   Ctrl +/-  Change window height
   Space     Cancel/proceed
   Enter     Select something in a menu, confirm","通用菜单和窗口命令：
   Esc       游戏内菜单，或取消/继续
   ?, F1     本手册
   =         选项
   +/-       改变窗口宽度
   Ctrl +/-  改变窗口高度
   Space     取消/继续
   Enter     在菜单中选择，确认"
manual.gameplay_commands.p004,Move in eight directions with the numpad keys:,使用数字小键盘向八个方向移动：
manual.gameplay_commands.p005,"   7 8 9
    \|/
   4- -6
    /|\
   1 2 3","   7 8 9
    \|/
   4- -6
    /|\
   1 2 3"
manual.gameplay_commands.p006,"Press '5' or '.' (period) to wait for one turn. This is also used for selecting your current position, for example when kicking (to destroy a corpse you are standing over) or when disarming traps.",按“5”或“.”（句点）等待一回合。这也用于选择你当前的位置，例如踢击时（摧毁你脚下的尸体）或解除陷阱时。
manual.gameplay_commands.p007,"As an alternative, for keyboards without a numpad (e.g. some laptop keyboards), the arrow keys can be used for moving. To move diagonally, hold shift or ctrl (""auto movement"" is not supported in this context):",对于没有数字小键盘的键盘（例如某些笔记本键盘），也可以使用方向键移动。要斜向移动，请按住 shift 或 ctrl（此方式不支持“自动移动”）：
manual.gameplay_commands.p008,"   Shift + left  = up left
   Shift + right = up right
   Ctrl  + left  = down left
   Ctrl  + right = down right","   Shift + left  = 左上
   Shift + right = 右上
   Ctrl  + left  = 左下
   Ctrl  + right = 右下"
manual.gameplay_commands.p009,"""Vi-keys"" are also supported, and can be enabled in the options menu. If vi-mode is enabled, the following keys are used for movement instead:",也支持“Vi 键”，可在选项菜单中启用。启用 vi 模式后，使用以下按键移动：
manual.gameplay_commands.p010,"   y k u
    \|/
   h- -l
    /|\
   b j n","   y k u
    \|/
   h- -l
    /|\
   b j n"
manual.gameplay_commands.p011,"The ""k"" and ""j"" keys can be used to scroll up and down in menus, and ""l"" selects the currently marked entry (as an alternative to the enter key).",“k”和“j”键可用于在菜单中上下滚动，“l”可选择当前标记的条目（也可使用 Enter 键）。
manual.gameplay_commands.p012,"There is also a Controller Support mode, which can be enabled in the options menu. This mode is intended for cases such as binding a controller stick to the numpad's eight directional keys (see the movement layout above). In this mode, you must press the [Enter] key while holding a direction in order to execute a move. Only pressing [Enter] without a direction executes a ""wait"" command. While a direction is held, a small symbol appears to indicate the active input. Note that this confirmation is also required when choosing a direction for actions such as kicking.",还有一种手柄支持模式，可在选项菜单中启用。此模式适用于例如把手柄摇杆绑定到数字小键盘八方向键的情况（见上方移动布局）。在此模式下，必须按住一个方向并同时按 [Enter] 键才会执行移动。只按 [Enter] 而不按方向会执行“等待”命令。按住方向时，会显示一个小符号来表示当前输入。注意，在选择踢击等动作的方向时，也需要这种确认。
manual.environment_interaction.title,Environment interaction,环境互动
manual.environment_interaction.p001,"Many things in the game can be interacted with by moving into them (i.e. by ""bumping"" them), for example:
   * Move into monsters to melee attack them
   * Move into closed doors, chests, cabinets, etc to attempt to open them
   * Move into opened chests, cabinets, etc to loot them
   * Move into stuck doors to attempt to bash them open
   * Move into fountains to drink from them","游戏中的许多事物都可以通过向其移动（也就是“撞上去”）来互动，例如：
   * 移向怪物会近战攻击它
   * 移向关闭的门、箱子、柜子等会尝试打开它们
   * 移向已打开的箱子、柜子等会搜刮其中物品
   * 移向卡住的门会尝试把它撞开
   * 移向喷泉会饮水"
manual.information_on_the_game_screen.title,Information on the game screen,游戏画面信息
manual.information_on_the_game_screen.p001,"On the right hand side of the screen, information is listed about your character and your carried equipment. The following is an example of what these lines can look like:",画面右侧会列出你的角色和携带装备的信息。下面是这些行可能显示的样子：
manual.information_on_the_game_screen.p002,"   Level       1 (60%) : Character level, and progress towards next level
                         This progress is called experience, or ""XP""","   Level       1 (60%) : 角色等级，以及距离下一级的进度
                         这个进度称为经验，或“XP”"
manual.information_on_the_game_screen.p003,"   Depth             2 : Current floor (or ""dungeon level"")",   Depth             2 : 当前楼层（或“地下城层级”）
manual.information_on_the_game_screen.p004,"   Health         9/16 : Current and maximum Hit Points
                         See ""Hit Points, Wounds and healing"" for more info","   Health         9/16 : 当前和最大生命值
                         更多信息见“生命值、创伤和治疗”"
manual.information_on_the_game_screen.p005,"   Spirit          8/8 : Current and maximum Spirit Points
                         See ""Spirit and spell casting"" for more info","   Spirit          8/8 : 当前和最大精神点
                         更多信息见“精神和施法”"
manual.information_on_the_game_screen.p006,"   Shock           45% : Your level of shock or stress
                         See ""Insanity"" for more info","   Shock           45% : 你的震惊或压力程度
                         更多信息见“疯狂”"
