messages.terrain_inscription_messages_generic.l001,A plea for mercy from realms beyond.,来自彼岸领域的求饶。
messages.terrain_inscription_messages_generic.l002,A prophecy foretelling the end of all things.,预告万物终结的预言。
messages.terrain_inscription_messages_generic.l003,The chronicles of an interstellar war.,一场星际战争的编年史。
messages.terrain_inscription_messages_generic.l004,Chronicles concerning sacrificial rites to placate ancient deities.,关于安抚古老神祇的献祭仪式编年。
messages.terrain_inscription_messages_generic.l005,The history of a pact sealed in blood.,一份以鲜血封缄的契约史。
messages.terrain_inscription_messages_generic.l006,Portents of an impending cosmic cataclysm.,即将到来的宇宙灾变征兆。
messages.terrain_inscription_messages_generic.l007,Suggestions of hidden gateways to other realms.,有关通往异界的隐秘门户的暗示。
messages.terrain_inscription_messages_generic.l008,The history of a cosmic deity's descent to earth and its impact on mortals.,一位宇宙神祇降临地球及其对凡人影响的历史。
messages.terrain_inscription_messages_generic.l009,Depictions of the intricate dance of celestial bodies in the night sky.,描绘夜空中天体错综舞步的图像。
messages.terrain_inscription_messages_generic.l010,The creation myth of a forgotten race of cosmic beings.,一个被遗忘的宇宙种族的创世神话。
messages.terrain_inscription_messages_generic.l011,The tale of a lost civilization's final days.,一个失落文明末日的故事。
messages.terrain_inscription_messages_generic.l012,Depictions of the celestial alignment that heralds the end of days.,描绘预示末日的天体排列。
messages.terrain_inscription_messages_generic.l013,An ancient prophecy foretelling cosmic upheaval.,预告宇宙动荡的古老预言。
messages.terrain_inscription_messages_generic.l014,Depictions of the cosmic dance of the celestial spheres.,描绘天球的宇宙舞蹈。
messages.terrain_inscription_messages_generic.l015,The celestial map of a distant galaxy.,遥远星系的星图。
messages.terrain_inscription_messages_generic.l016,Revelations concerning the secrets of a cosmic gate.,关于一座宇宙之门秘密的揭示。
messages.terrain_inscription_messages_generic.l017,Details concerning the forgotten rituals of an ancient priesthood.,关于古代祭司团被遗忘仪式的细节。
messages.terrain_inscription_messages_generic.l018,Whispers of a lost civilization.,失落文明的低语。
messages.terrain_inscription_messages_generic.l019,Whispers of an ancient curse.,古老诅咒的低语。
messages.terrain_inscription_messages_generic.l020,Details concerning the daily lives of a lost civilization.,关于失落文明日常生活的细节。
messages.terrain_inscription_messages_generic.l021,Details concerning the agricultural practices of an ancient society.,关于古代社会农耕实践的细节。
messages.terrain_inscription_messages_generic.l022,Chronicles of interdimensional travelers.,跨维度旅者的编年史。
messages.terrain_inscription_messages_generic.l023,Records of celestial beings waging war across galaxies.,天界存在横跨诸星系发动战争的记录。
messages.terrain_inscription_messages_generic.l024,Depictions of cosmic beings orchestrating the fate of galaxies.,描绘宇宙存在编排星系命运的图像。
messages.terrain_inscription_messages_generic.l025,Records of cosmic entities traversing the astral planes.,宇宙实体穿越星界平面的记录。
messages.terrain_inscription_messages_generic.l026,Testimonies of mortal ascensions into realms beyond perception.,关于凡人升入感知之外领域的证词。
messages.terrain_inscription_messages_generic.l027,Records of intrepid travelers venturing through the realms of dreams.,无畏旅者穿越梦境诸界的记录。
messages.terrain_inscription_messages_generic.l028,Whispers of unearthly technologies hidden beneath the Earth's surface.,关于隐藏在地表之下的非尘世技术的低语。
messages.terrain_inscription_messages_generic.l029,Chronicles concerning the convergence of interstellar travelers on Earth.,关于星际旅者在地球会聚的编年。
messages.terrain_inscription_messages_generic.l030,Testimonies of extraplanetary colonies hidden deep within the Earth.,关于深藏地球内部的外星殖民地的证词。
messages.terrain_inscription_messages_generic.l031,Hints at celestial entities offering untold treasures.,暗示天界实体献上无尽财富。
messages.terrain_inscription_messages_generic.l032,Depictions of celestial beings unlocking arcane secrets.,描绘天界存在开启奥秘的图像。
messages.terrain_inscription_messages_generic.l033,Echoes of celestial entities promising abundant blessings.,天界实体许诺丰厚赐福的回声。
messages.terrain_inscription_messages_generic.l034,Portents of unearthly beings offering vast treasures.,非尘世存在献上巨大财富的征兆。
messages.terrain_inscription_messages_generic.l035,Hints at celestial entities offering the keys to unlocking hidden knowledge.,暗示天界实体献出开启隐秘知识的钥匙。
messages.terrain_inscription_messages_generic.l036,Testimonies of cosmic beings promising the revelation of ancient mysteries.,关于宇宙存在承诺揭示古代奥秘的证词。
messages.terrain_inscription_messages_generic.l037,Hints at otherworldly entities granting access to forbidden realms of understanding.,暗示异界实体准许进入禁忌理解领域。
messages.terrain_inscription_messages_generic.l038,Testimonies of celestial powers enticing mortals with the promise of enlightenment beyond comprehension.,关于天界力量以超越理解的启蒙承诺诱惑凡人的证词。
