messages.terrain_inscription_messages_reveal_knowledge.l001,Testimonies of a sage's journey to capture the essence of moonlit enchantment.,关于一位贤者踏上旅程、捕捉月光魅惑本质的证词。
messages.terrain_inscription_messages_reveal_knowledge.l002,Visions of alchemical symbols glowing with the promise of arcane revelations.,闪耀着秘法启示承诺的炼金符号幻象。
messages.terrain_inscription_messages_reveal_knowledge.l003,Portents of alchemical secrets whispered by ancient winds in sacred groves.,古风在圣林中低语炼金秘密的征兆。
messages.terrain_inscription_messages_reveal_knowledge.l004,Chronicles of celestial alignments guiding the infusion of artifacts with magical power.,记载天体排列如何引导神器注入魔力的编年。
messages.terrain_inscription_messages_reveal_knowledge.l005,Chronicles of cosmic phenomena imbuing artifacts with supernatural energy.,记载宇宙现象如何为神器灌注超自然能量的编年。
messages.terrain_inscription_messages_reveal_knowledge.l006,Records of alchemical experiments unlocking the potential of ancient secrets.,炼金实验释放古老秘密潜能的记录。
messages.terrain_inscription_messages_reveal_knowledge.l007,Glyphs revealing ancient alchemical symbols of mystical insights.,揭示蕴含神秘洞见的古老炼金符号的字形。
messages.terrain_inscription_messages_reveal_knowledge.l008,Records of alchemical experiments unlocking hidden wonders.,炼金实验开启隐藏奇迹的记录。
messages.terrain_inscription_messages_reveal_knowledge.l009,Glyphs unveiling the meaning of mystical symbols.,揭示神秘符号含义的字形。
messages.terrain_inscription_messages_reveal_knowledge.l010,Echoes of incantations revealing hidden secrets.,揭示隐秘秘密的咒语回声。
messages.terrain_inscription_messages_reveal_knowledge.l011,Whispers of arcane incantations revealing hidden lore.,揭示隐藏传承的秘法咒语低语。
messages.terrain_inscription_messages_reveal_knowledge.l012,Echoes of forgotten rituals uncovering ancient magic.,唤出古代魔法的遗忘仪式回声。
messages.terrain_inscription_messages_reveal_knowledge.l013,Glyphs revealing esoteric knowledge of alchemy.,揭示炼金术秘传知识的字形。
messages.terrain_inscription_messages_reveal_knowledge.l014,Glyphs deciphering cryptic alchemical symbols.,解读隐晦炼金符号的字形。
messages.terrain_inscription_messages_reveal_knowledge.l015,Inscriptions granting a deeper understanding of magical lore.,赋予对魔法学识更深理解的铭文。
messages.terrain_inscription_messages_reveal_knowledge.l016,Inscriptions imparting a deeper knowledge of ancient alchemical arts.,传授对古代炼金技艺更深知识的铭文。
